Year,Force,HOMICIDE,Harassment,Kidnapping,TOTAL ROBBERY,Domestic burglary,Shoplifting,TOTAL THEFT OFFENCES,Arson,Criminal damage,TOTAL DRUG OFFENCES,TOTAL POSSESSION OF           WEAPONS OFFENCES,TOTAL  - ALL OFFENCES
2005,Hertfordshire,12,534,23,933,4733,6101,48018,651,20100,2044,614,90942
2005,Humberside,11,370,43,1185,7302,6112,59222,1192,24526,2127,644,114264
2005,Kent,16,890,79,1351,7055,9991,73271,1403,34914,2713,942,144807
2005,Lancashire,14,1371,67,1021,6184,8655,62091,1606,38294,3245,973,139291
2005,Leicestershire,6,2303,66,1244,5147,4871,41549,742,17336,2747,578,88424
2005,Lincolnshire,4,157,20,229,2436,3390,28174,673,13262,1239,462,56479
2005,City of London City of,2,120,1,39,25,737,4823,2,279,1023,117,7699
2005,Merseyside,28,1127,89,2502,10382,9327,77280,1325,41053,11952,1115,172915
2005,Metropolitan Police,175,16695,819,45311,64174,41040,521177,3374,117829,42681,8367,953299
2005,Norfolk,12,252,15,301,1889,3814,28462,746,16745,1821,425,63327
2005,North Wales,7,281,11,150,1285,3111,18658,387,13944,2108,410,49442
2005,North Yorkshire,5,252,11,240,2619,3725,29616,456,12204,1899,353,57651
2005,Northamptonshire,10,472,29,1069,4079,3676,34979,719,15559,1394,361,65944
2005,Northumbria,18,748,43,1070,6560,8364,59711,1587,35042,5159,1087,129604
2005,Nottinghamshire,14,791,39,2112,10477,7129,75732,1362,29261,3301,823,136902
2005,South Wales,11,860,38,631,5747,6971,65234,1166,27352,3483,675,122435
2005,South Yorkshire,23,1590,50,1258,10011,8028,82416,2049,37730,3283,976,160181
2005,Staffordshire,14,1251,30,766,4470,5664,46507,959,22933,3242,518,102264
2005,Suffolk,7,233,24,271,1929,3101,23701,601,12375,2015,501,51144
2005,Surrey,12,325,40,446,3473,3416,34601,518,16335,1787,423,67118
2005,Sussex,15,1881,44,1098,5709,8403,65194,1177,27867,4276,1464,132555
2005,Thames Valley,24,3628,105,1926,11529,10923,108477,1606,35484,7515,1113,196505
2005,Warwickshire,8,176,16,429,2492,2009,22924,333,9703,1317,192,42407
2005,West Mercia,6,770,32,453,3738,5457,40864,753,19703,2537,649,83056
2005,West Midlands,50,4234,178,8867,18593,15464,136746,2324,54024,10035,2726,280007
2005,West Yorkshire,35,2301,92,2531,16628,11782,127602,2779,57126,6739,1447,254846
2005,Wiltshire,8,166,14,301,1803,2580,21161,336,9286,1340,311,41365
2006,Avon and Somerset,11,1280,56,1987,7450,9423,80260,1177,32070,6173,1084,156960
2006,Bedfordshire,8,258,32,1248,3560,3617,31109,445,10230,1015,496,54751
2006,British Transport Police,4,61,15,1953,3,1545,38225,222,13151,2830,1109,75541
